MHz	1m_H pol_F	1m_H pol_C	1m_H pol_L	1m_H pol_R	1m_V pol_F	1m_V pol_C	1m_V pol_L	1m_V pol_R	2m_H pol_F	2m_H pol_C	2m_H pol_L	2m_H pol_R	2m_V pol_F	2m_V pol_C	2m_V pol_L	2m_V pol_R	
30.0	0.7803723011620534	0.5323029417865399	0.6430608460182405	0.5384415293834444	0.7803723011620534	0.5323029417865399	0.5868825984203507	0.5868825984203507	0.7940902869176245	0.5445323435485214	0.6540363131609119	0.5522407054705774	0.7940902869176245	0.5445323435485214	0.5995464581308294	0.5995464581308312	
558.5294117647059	0.49175622776198225	1.9086218574347456	1.3453618112629115	1.5294754159822261	0.49175622776198225	1.9086218574347456	1.446278286728834	1.446278286728841	0.04055853740684512	1.2679670697199654	0.7976000743341203	0.7462486829709718	0.04055853740684512	1.2679670697199654	0.7713304175391897	0.7713304175391897	
1087.0588235294117	0.6271090797277594	3.1641596450558893	1.796138386098633	2.228418128825119	0.6271090797277594	3.1641596450558893	2.0257016414140026	2.0257016414140097	0.20642205552172754	2.3197612726345227	2.169401572825464	2.9442168985437647	0.20642205552172754	2.3197612726345227	2.5624133784486176	2.5624133784486176	
1615.5882352941176	0.11050523422280634	0.6236386296400269	1.4684837937715969	1.8932955971051797	0.11050523422280634	0.6236386296400269	1.6741952905377744	1.6741952905377744	1.3504287206607017	2.843538248613733	1.858577224486524	2.3931647022193943	1.3504287206607017	2.843538248613733	2.1344983987485335	2.1344983987485335	
2144.1176470588234	1.0075377861433807	1.909862490881359	2.2061984468609666	3.2814159740179605	1.0075377861433807	1.909862490881359	2.734235697142374	2.734235697142374	0.7984140810722096	1.3924092884829875	1.8261821787097716	2.626557916947135	0.7984140810722096	1.3924092884829875	2.220182188860541	2.220182188860548	
2672.6470588235293	1.8863519693214243	0.8138557882991506	1.6012307793374987	2.209825036267034	1.8863519693214243	0.8138557882991506	1.9040768167266933	1.9040768167267004	1.188334786631458	1.2804157673782228	0.8704271058379334	1.2612013115377607	1.188334786631458	1.2804157673782228	1.000320309985554	1.000320309985561	
3201.176470588235	1.7673753521892266	1.8514555084661808	0.6698566535261605	0.8737251128205585	1.7673753521892266	1.8514555084661808	0.7297291195719211	0.7297291195719211	1.4007109648507097	1.7584952608466722	0.39517994005053225	0.6990789947866176	1.4007109648507097	1.7584952608466722	0.45289029641256917	0.4528902964125834	
3729.705882352941	1.647448002645362	1.6611871716926032	0.6419133816102587	0.8752963560143385	1.647448002645362	1.6611871716926032	0.7424703664009726	0.7424703664009797	1.5062223932945926	1.413799799724444	0.5678878087105588	0.6997531176407605	1.5062223932945926	1.413799799724444	0.6037831022388573	0.6037831022388573	
4258.235294117647	1.266794457496843	1.0203516296557993	0.8451615792199831	1.1348132218005986	1.266794457496843	1.0203516296557993	0.9903071638310195	0.9903071638310195	1.2942776197247312	1.1687066737093232	0.8155222893206258	1.0829700487563514	1.2942776197247312	1.1687066737093232	0.9498967518460759	0.9498967518460901	
4786.764705882353	1.0886599101607572	0.835588148547906	0.9036460029537139	0.9150377431735635	1.0886599101607572	0.835588148547906	0.9093083089259864	0.9093083089259864	1.0748214041987296	0.8610676732390701	0.9361029212680307	1.1188489182994203	1.0748214041987296	0.8610676732390701	1.0268682498153439	1.0268682498153439	
